,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,act_name,act_ent_type
0,000001.SZ,000001,平安银行,深圳,银行,平安银行股份有限公司,主板,SZSE,19910403,Richard C. Blum,外资企业
1,000002.SZ,000002,万科A,深圳,全国地产,万科企业股份有限公司,主板,SZSE,19910129,无实际控制人,无
2,000004.SZ,000004,*ST国华,深圳,软件服务,深圳国华网安科技股份有限公司,主板,SZSE,19910114,中国农业大学,校办企业
3,000006.SZ,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,主板,SZSE,19920427,深圳市人民政府国有资产监督管理委员会,地方国企
4,000007.SZ,000007,全新好,深圳,其他商业,深圳市全新好股份有限公司,主板,SZSE,19920413,李成碧,民营企业
5,000008.SZ,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,主板,SZSE,19920507,文炳荣,民营企业
6,000009.SZ,000009,中国宝安,深圳,电气设备,中国宝安集团股份有限公司,主板,SZSE,19910625,丘兆忠,民营企业
7,000010.SZ,000010,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,主板,SZSE,19951027,宋廉,民营企业
8,000011.SZ,000011,深物业A,深圳,房产服务,深圳市物业发展(集团)股份有限公司,主板,SZSE,19920330,深圳市人民政府国有资产监督管理委员会,地方国企
9,000012.SZ,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,主板,SZSE,19920228,深圳国际控股有限公司,民营企业
10,000014.SZ,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,主板,SZSE,19920602,深圳市人民政府国有资产监督管理委员会,地方国企
11,000016.SZ,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,主板,SZSE,19920327,国务院国有资产监督管理委员会,中央国企
12,000017.SZ,000017,深中华A,深圳,服饰,深圳中华自行车(集团)股份有限公司,主板,SZSE,19920331,张燕芬,民营企业
13,000019.SZ,000019,深粮控股,深圳,农业综合,深圳市深粮控股股份有限公司,主板,SZSE,19921012,深圳市人民政府国有资产监督管理委员会,地方国企
14,000020.SZ,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,主板,SZSE,19920428,李中秋,外资企业
15,000021.SZ,000021,深科技,深圳,元器件,深圳长城开发科技股份有限公司,主板,SZSE,19940202,国务院国有资产监督管理委员会,中央国企
16,000025.SZ,000025,特力A,深圳,综合类,深圳市特力(集团)股份有限公司,主板,SZSE,19930621,深圳市人民政府国有资产监督管理委员会,地方国企
17,000026.SZ,000026,飞亚达,深圳,服饰,飞亚达精密科技股份有限公司,主板,SZSE,19930603,国务院国有资产监督管理委员会,中央国企
18,000027.SZ,000027,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,主板,SZSE,19930903,深圳市人民政府国有资产监督管理委员会,地方国企
19,000028.SZ,000028,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,主板,SZSE,19930809,国务院国有资产监督管理委员会,中央国企
20,000029.SZ,000029,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,主板,SZSE,19930915,深圳市人民政府国有资产监督管理委员会,地方国企
21,000030.SZ,000030,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,主板,SZSE,19930929,郭涛,民营企业
22,000031.SZ,000031,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,主板,SZSE,19931008,国务院国有资产监督管理委员会,中央国企
23,000032.SZ,000032,深桑达A,深圳,建筑工程,深圳市桑达实业股份有限公司,主板,SZSE,19931028,国务院国有资产监督管理委员会,中央国企
24,000034.SZ,000034,神州数码,深圳,软件服务,神州数码集团股份有限公司,主板,SZSE,19940509,王晓岩,民营企业
25,000035.SZ,000035,中国天楹,江苏,环境保护,中国天楹股份有限公司,主板,SZSE,19940408,曹小竹,民营企业
26,000036.SZ,000036,华联控股,深圳,全国地产,华联控股股份有限公司,主板,SZSE,19940617,杭州锦江集团有限公司,无
27,000037.SZ,000037,深南电A,深圳,火力发电,深圳南山热电股份有限公司,主板,SZSE,19940701,深圳市能源集团有限公司,地方国企
28,000039.SZ,000039,中集集团,深圳,运输设备,中国国际海运集装箱(集团)股份有限公司,主板,SZSE,19940408,国务院国有资产监督管理委员会,中央国企
29,000042.SZ,000042,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,主板,SZSE,19940921,深圳市人民政府国有资产监督管理委员会,地方国企
30,000045.SZ,000045,深纺织A,深圳,元器件,深圳市纺织(集团)股份有限公司,主板,SZSE,19940815,深圳市人民政府国有资产监督管理委员会,地方国企
